record_id,raw_name,canonical_name,dataset,script,language_hint,country,variants_json,warnings_json,metadata_json
sage-a8b392dc55803d0f,Abdul Basir Sarwari,abdul basir sarwari,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul basir sarwari""}",[],"{""source_row"": 2}"
sage-3abb7aec34a5acdb,Abdul Jabar Forqani,abdul jabar forqani,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul jabar forqani""}",[],"{""source_row"": 3}"
sage-7c13d45ecd2287a3,Abdul Latif Pedram,abdul latif pedram,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul latif pedram""}",[],"{""source_row"": 4}"
sage-99f9613d0b27d657,Abdul Naser Ansar,abdul naser ansar,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul naser ansar""}",[],"{""source_row"": 5}"
sage-9e1f8e90d2bcae26,Abdul Rauf Enaami,abdul rauf enaami,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul rauf enaami""}",[],"{""source_row"": 6}"
sage-65c277b3e38cb0bc,Abdul Saboor Sahib,abdul saboor sahib,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul saboor sahib""}",[],"{""source_row"": 7}"
sage-48d0e380c46ed3a0,Abdul Samad Yaftali,abdul samad yaftali,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul samad yaftali""}",[],"{""source_row"": 8}"
sage-bbbaca2926ccfbdc,Abdul Shokor Waqef Hakimi,abdul shokor waqef hakimi,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul shokor waqef hakimi""}",[],"{""source_row"": 9}"
sage-5e3523f3358e8b85,Abdul Wali Neyazi,abdul wali neyazi,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""abdul wali neyazi""}",[],"{""source_row"": 10}"
sage-ee32fd4dbddc0378,Alhaj Abdul Rahman Ebrat,alhaj abdul rahman ebrat,sage_multilingual,Latn,fa/ps,Afghanistan,"{""native"": ""alhaj abdul rahman ebrat""}",[],"{""source_row"": 11}"
